srg_id,oscal_id,family,name,leveraged_from_fedramp_high,in_nist_high_baseline,profile_group,dod_param_present
AU-3(1),au-3.1,AUDIT AND ACCOUNTABILITY,Content of Audit Records | Additional Audit Information,Yes,Yes,baseline-from-nist-high,No
AU-4,au-4,AUDIT AND ACCOUNTABILITY,Audit Log Storage Capacity,Yes,Yes,baseline-from-nist-high,No
AU-5,au-5,AUDIT AND ACCOUNTABILITY,Response to Audit Logging Process Failures,Yes,Yes,baseline-from-nist-high,No
AU-5(1),au-5.1,AUDIT AND ACCOUNTABILITY,Response to Audit Logging Process Failures | Storage Capacity Warning,Yes,Yes,baseline-from-nist-high,Yes
AU-5(2),au-5.2,AUDIT AND ACCOUNTABILITY,Response to Audit Logging Process Failures | Real-time Alerts,Yes,Yes,baseline-from-nist-high,No
AU-6,au-6,AUDIT AND ACCOUNTABILITY,"Audit Record Review, Analysis, and Reporting",Yes,Yes,baseline-from-nist-high,No
AU-6(1),au-6.1,AUDIT AND ACCOUNTABILITY,"Audit Record Review, Analysis, and Reporting | Automated Process Integration",Yes,Yes,baseline-from-nist-high,No
AU-6(3),au-6.3,AUDIT AND ACCOUNTABILITY,"Audit Record Review, Analysis, and Reporting | Correlate Audit Record Repositories",Yes,Yes,baseline-from-nist-high,No
AU-6(4),au-6.4,AUDIT AND ACCOUNTABILITY,"Audit Record Review, Analysis, and Reporting | Central Review and Analysis",Yes,No,il5-fedramp-plus-additions,No
AU-6(5),au-6.5,AUDIT AND ACCOUNTABILITY,"Audit Record Review, Analysis, and Reporting | Integrated Analysis of Audit Records",Yes,Yes,baseline-from-nist-high,No
AU-6(6),au-6.6,AUDIT AND ACCOUNTABILITY,"Audit Record Review, Analysis, and Reporting | Correlation with Physical Monitoring",Yes,Yes,baseline-from-nist-high,No
AU-6(7),au-6.7,AUDIT AND ACCOUNTABILITY,"Audit Record Review, Analysis, and Reporting | Permitted Actions",Yes,No,il5-fedramp-plus-additions,No
AU-7,au-7,AUDIT AND ACCOUNTABILITY,Audit Record Reduction and Report Generation,Yes,Yes,baseline-from-nist-high,No
AU-7(1),au-7.1,AUDIT AND ACCOUNTABILITY,Audit Record Reduction and Report Generation | Automatic Processing,Yes,Yes,baseline-from-nist-high,No
AU-8,au-8,AUDIT AND ACCOUNTABILITY,Time Stamps,Yes,Yes,baseline-from-nist-high,No
AU-9,au-9,AUDIT AND ACCOUNTABILITY,Protection of Audit Information,Yes,Yes,baseline-from-nist-high,No
AU-9(2),au-9.2,AUDIT AND ACCOUNTABILITY,Protection of Audit Information | Store on Separate Physical Systems or Components,Yes,Yes,baseline-from-nist-high,No
AU-9(3),au-9.3,AUDIT AND ACCOUNTABILITY,Protection of Audit Information | Cryptographic Protection,Yes,Yes,baseline-from-nist-high,No
AU-9(4),au-9.4,AUDIT AND ACCOUNTABILITY,Protection of Audit Information | Access by Subset of Privileged Users,Yes,Yes,baseline-from-nist-high,No
AU-9(5),au-9.5,AUDIT AND ACCOUNTABILITY,Protection of Audit Information | Dual Authorization,No,No,il5-nss-overlay,No
AU-9(6),au-9.6,AUDIT AND ACCOUNTABILITY,Protection of Audit Information | Read-only Access,No,No,il5-nss-overlay,No
AU-10,au-10,AUDIT AND ACCOUNTABILITY,Non-repudiation,Yes,Yes,baseline-from-nist-high,No
AU-11,au-11,AUDIT AND ACCOUNTABILITY,Audit Record Retention,Yes,Yes,baseline-from-nist-high,No
AU-12,au-12,AUDIT AND ACCOUNTABILITY,Audit Record Generation,Yes,Yes,baseline-from-nist-high,No
AU-12(1),au-12.1,AUDIT AND ACCOUNTABILITY,Audit Record Generation | System-wide and Time-correlated Audit Trail,Yes,Yes,baseline-from-nist-high,No
AU-12(3),au-12.3,AUDIT AND ACCOUNTABILITY,Audit Record Generation | Changes by Authorized Individuals,Yes,Yes,baseline-from-nist-high,No
AU-14,au-14,AUDIT AND ACCOUNTABILITY,Session Audit,No,No,il5-nss-overlay,No
AU-14(1),au-14.1,AUDIT AND ACCOUNTABILITY,Session Audit | System Start-up,No,No,il5-nss-overlay,No
AU-14(3),au-14.3,AUDIT AND ACCOUNTABILITY,Session Audit | Remote Viewing and Listening,No,No,il5-nss-overlay,No
AU-16,au-16,AUDIT AND ACCOUNTABILITY,Cross-organizational Audit Logging,No,No,il5-nss-overlay,No
AU-16(1),au-16.1,AUDIT AND ACCOUNTABILITY,Cross-organizational Audit Logging | Identity Preservation,No,No,il5-nss-overlay,No
AU-16(2),au-16.2,AUDIT AND ACCOUNTABILITY,Cross-organizational Audit Logging | Sharing of Audit Information,No,No,il5-nss-overlay,No
CA-1,ca-1,SECURITY ASSESSMENT AND AUTHORIZATION,Policy and Procedures,Yes,Yes,baseline-from-nist-high,No
CA-2,ca-2,SECURITY ASSESSMENT AND AUTHORIZATION,Control Assessments,Yes,Yes,baseline-from-nist-high,No
CA-2(1),ca-2.1,SECURITY ASSESSMENT AND AUTHORIZATION,Control Assessments | Independent Assessors,Yes,Yes,baseline-from-nist-high,No
CA-2(2),ca-2.2,SECURITY ASSESSMENT AND AUTHORIZATION,Control Assessments | Specialized Assessments,Yes,Yes,baseline-from-nist-high,No
CA-2(3),ca-2.3,SECURITY ASSESSMENT AND AUTHORIZATION,Control Assessments | Leveraging Results from External Organizations,Yes,No,il5-fedramp-plus-additions,No
CA-3,ca-3,SECURITY ASSESSMENT AND AUTHORIZATION,Information Exchange,Yes,Yes,baseline-from-nist-high,No
CA-3(6),ca-3.6,SECURITY ASSESSMENT AND AUTHORIZATION,Information Exchange | Transfer Authorizations,Yes,Yes,baseline-from-nist-high,No
CA-5,ca-5,SECURITY ASSESSMENT AND AUTHORIZATION,Plan of Action and Milestones,Yes,Yes,baseline-from-nist-high,No
CA-6,ca-6,SECURITY ASSESSMENT AND AUTHORIZATION,Authorization,Yes,Yes,baseline-from-nist-high,No
CA-7,ca-7,SECURITY ASSESSMENT AND AUTHORIZATION,Continuous Monitoring,Yes,Yes,baseline-from-nist-high,No
CA-7(1),ca-7.1,SECURITY ASSESSMENT AND AUTHORIZATION,Continuous Monitoring | Independent Assessment,Yes,Yes,baseline-from-nist-high,No
CA-7(3),ca-7.3,SECURITY ASSESSMENT AND AUTHORIZATION,Continuous Monitoring | Trend Analyses,No,No,il5-nss-overlay,No
CA-7(4),ca-7.4,SECURITY ASSESSMENT AND AUTHORIZATION,Continuous Monitoring | Risk Monitoring,Yes,Yes,baseline-from-nist-high,No
CA-7(5),ca-7.5,SECURITY ASSESSMENT AND AUTHORIZATION,Continuous Monitoring | Consistency Analysis,No,No,il5-nss-overlay,No
CA-7(6),ca-7.6,SECURITY ASSESSMENT AND AUTHORIZATION,Continuous Monitoring | Automation Support for Monitoring,No,No,il5-nss-overlay,No
CA-8,ca-8,SECURITY ASSESSMENT AND AUTHORIZATION,Penetration Testing,Yes,Yes,baseline-from-nist-high,No
CA-8(1),ca-8.1,SECURITY ASSESSMENT AND AUTHORIZATION,Penetration Testing | Independent Penetration Testing Agent or Team,Yes,Yes,baseline-from-nist-high,No
CA-8(2),ca-8.2,SECURITY ASSESSMENT AND AUTHORIZATION,Penetration Testing | Red Team Exercises,Yes,No,il5-fedramp-plus-additions,No
CA-8(3),ca-8.3,SECURITY ASSESSMENT AND AUTHORIZATION,Penetration Testing | Facility Penetration Testing,No,No,il5-nss-overlay,No
CA-9,ca-9,SECURITY ASSESSMENT AND AUTHORIZATION,Internal System Connections,Yes,Yes,baseline-from-nist-high,No
CM-1,cm-1,CONFIGURATION MANAGEMENT,Policy and Procedures,Yes,Yes,baseline-from-nist-high,No
CM-2,cm-2,CONFIGURATION MANAGEMENT,Baseline Configuration,Yes,Yes,baseline-from-nist-high,No
CM-2(2),cm-2.2,CONFIGURATION MANAGEMENT,Baseline Configuration | Automation Support for Accuracy and Currency,Yes,Yes,baseline-from-nist-high,No
CM-2(3),cm-2.3,CONFIGURATION MANAGEMENT,Baseline Configuration | Retention of Previous Configurations,Yes,Yes,baseline-from-nist-high,No
CM-2(7),cm-2.7,CONFIGURATION MANAGEMENT,Baseline Configuration | Configure Systems and Components for High-risk Areas,Yes,Yes,baseline-from-nist-high,No
CM-3,cm-3,CONFIGURATION MANAGEMENT,Configuration Change Control,Yes,Yes,baseline-from-nist-high,No
CM-3(1),cm-3.1,CONFIGURATION MANAGEMENT,"Configuration Change Control | Automated Documentation, Notification, and Prohibition of Changes",Yes,Yes,baseline-from-nist-high,No
CM-3(2),cm-3.2,CONFIGURATION MANAGEMENT,"Configuration Change Control | Testing, Validation, and Documentation of Changes",Yes,Yes,baseline-from-nist-high,No
CM-3(4),cm-3.4,CONFIGURATION MANAGEMENT,Configuration Change Control | Security and Privacy Representatives,Yes,Yes,baseline-from-nist-high,No
CM-3(5),cm-3.5,CONFIGURATION MANAGEMENT,Configuration Change Control | Automated Security Response,No,No,il5-nss-overlay,No
CM-3(6),cm-3.6,CONFIGURATION MANAGEMENT,Configuration Change Control | Cryptography Management,Yes,Yes,baseline-from-nist-high,No
CM-3(7),cm-3.7,CONFIGURATION MANAGEMENT,Configuration Change Control | Review System Changes,No,No,il5-nss-overlay,No
CM-3(8),cm-3.8,CONFIGURATION MANAGEMENT,Configuration Change Control | Prevent or Restrict Configuration Changes,No,No,il5-nss-overlay,No
CM-4,cm-4,CONFIGURATION MANAGEMENT,Impact Analyses,Yes,Yes,baseline-from-nist-high,No
CM-4(1),cm-4.1,CONFIGURATION MANAGEMENT,Impact Analyses | Separate Test Environments,Yes,Yes,baseline-from-nist-high,No
CM-4(2),cm-4.2,CONFIGURATION MANAGEMENT,Impact Analyses | Verification of Controls,Yes,Yes,baseline-from-nist-high,No
CM-5,cm-5,CONFIGURATION MANAGEMENT,Access Restrictions for Change,Yes,Yes,baseline-from-nist-high,No
CM-5(1),cm-5.1,CONFIGURATION MANAGEMENT,Access Restrictions for Change | Automated Access Enforcement and Audit Records,Yes,Yes,baseline-from-nist-high,No
CM-5(5),cm-5.5,CONFIGURATION MANAGEMENT,Access Restrictions for Change | Privilege Limitation for Production and Operation,Yes,No,il5-fedramp-plus-additions,No
CM-5(6),cm-5.6,CONFIGURATION MANAGEMENT,Access Restrictions for Change | Limit Library Privileges,No,No,il5-nss-overlay,No
CM-6,cm-6,CONFIGURATION MANAGEMENT,Configuration Settings,Yes,Yes,baseline-from-nist-high,No
CM-6(1),cm-6.1,CONFIGURATION MANAGEMENT,"Configuration Settings | Automated Management, Application, and Verification",Yes,Yes,baseline-from-nist-high,No
CM-6(2),cm-6.2,CONFIGURATION MANAGEMENT,Configuration Settings | Respond to Unauthorized Changes,Yes,Yes,baseline-from-nist-high,No
CM-7,cm-7,CONFIGURATION MANAGEMENT,Least Functionality,Yes,Yes,baseline-from-nist-high,No
CM-7(1),cm-7.1,CONFIGURATION MANAGEMENT,Least Functionality | Periodic Review,Yes,Yes,baseline-from-nist-high,No
CM-7(2),cm-7.2,CONFIGURATION MANAGEMENT,Least Functionality | Prevent Program Execution,Yes,Yes,baseline-from-nist-high,No
CM-7(3),cm-7.3,CONFIGURATION MANAGEMENT,Least Functionality | Registration Compliance,No,No,il5-nss-overlay,No
CM-7(5),cm-7.5,CONFIGURATION MANAGEMENT,Least Functionality | Authorized Software — Allow-by-exception,No,Yes,il5-nss-overlay,Yes
CM-7(8),cm-7.8,CONFIGURATION MANAGEMENT,Least Functionality | Binary or Machine Executable Code,No,No,il5-nss-overlay,No
CM-7(9),cm-7.9,CONFIGURATION MANAGEMENT,Least Functionality | Prohibiting The Use of Unauthorized Hardware,No,No,il5-nss-overlay,No
CM-8,cm-8,CONFIGURATION MANAGEMENT,System Component Inventory,Yes,Yes,baseline-from-nist-high,No
CM-8(1),cm-8.1,CONFIGURATION MANAGEMENT,System Component Inventory | Updates During Installation and Removal,Yes,Yes,baseline-from-nist-high,No
CM-8(2),cm-8.2,CONFIGURATION MANAGEMENT,System Component Inventory | Automated Maintenance,Yes,Yes,baseline-from-nist-high,No
CM-8(3),cm-8.3,CONFIGURATION MANAGEMENT,System Component Inventory | Automated Unauthorized Component Detection,Yes,Yes,baseline-from-nist-high,No
CM-8(4),cm-8.4,CONFIGURATION MANAGEMENT,System Component Inventory | Accountability Information,Yes,Yes,baseline-from-nist-high,No
CM-9,cm-9,CONFIGURATION MANAGEMENT,Configuration Management Plan,Yes,Yes,baseline-from-nist-high,No
CM-10,cm-10,CONFIGURATION MANAGEMENT,Software Usage Restrictions,Yes,Yes,baseline-from-nist-high,No
CM-10(1),cm-10.1,CONFIGURATION MANAGEMENT,Software Usage Restrictions | Open-source Software,No,No,il5-nss-overlay,No
CM-11,cm-11,CONFIGURATION MANAGEMENT,User-installed Software,Yes,Yes,baseline-from-nist-high,No
CM-11(2),cm-11.2,CONFIGURATION MANAGEMENT,User-installed Software | Software Installation with Privileged Status,No,No,il5-nss-overlay,No
CM-12,cm-12,CONFIGURATION MANAGEMENT,Information Location,Yes,Yes,baseline-from-nist-high,No
CM-12(1),cm-12.1,CONFIGURATION MANAGEMENT,Information Location | Automated Tools to Support Information Location,Yes,Yes,baseline-from-nist-high,No
CM-14,cm-14,CONFIGURATION MANAGEMENT,Signed Components,Yes,No,il5-fedramp-plus-additions,No
CP-1,cp-1,CONTINGENCY PLANNING,Policy and Procedures,Yes,Yes,baseline-from-nist-high,No
CP-2,cp-2,CONTINGENCY PLANNING,Contingency Plan,Yes,Yes,baseline-from-nist-high,No
CP-2(1),cp-2.1,CONTINGENCY PLANNING,Contingency Plan | Coordinate with Related Plans,Yes,Yes,baseline-from-nist-high,No
CP-2(2),cp-2.2,CONTINGENCY PLANNING,Contingency Plan | Capacity Planning,Yes,Yes,baseline-from-nist-high,No
CP-2(3),cp-2.3,CONTINGENCY PLANNING,Contingency Plan | Resume Mission and Business Functions,Yes,Yes,baseline-from-nist-high,No
CP-2(5),cp-2.5,CONTINGENCY PLANNING,Contingency Plan | Continue Mission and Business Functions,Yes,Yes,baseline-from-nist-high,No
CP-2(8),cp-2.8,CONTINGENCY PLANNING,Contingency Plan | Identify Critical Assets,Yes,Yes,baseline-from-nist-high,No
CP-3,cp-3,CONTINGENCY PLANNING,Contingency Training,Yes,Yes,baseline-from-nist-high,No
CP-3(1),cp-3.1,CONTINGENCY PLANNING,Contingency Training | Simulated Events,Yes,Yes,baseline-from-nist-high,No
CP-4,cp-4,CONTINGENCY PLANNING,Contingency Plan Testing,Yes,Yes,baseline-from-nist-high,No
CP-4(1),cp-4.1,CONTINGENCY PLANNING,Contingency Plan Testing | Coordinate with Related Plans,Yes,Yes,baseline-from-nist-high,No
CP-4(2),cp-4.2,CONTINGENCY PLANNING,Contingency Plan Testing | Alternate Processing Site,Yes,Yes,baseline-from-nist-high,No
CP-6,cp-6,CONTINGENCY PLANNING,Alternate Storage Site,Yes,Yes,baseline-from-nist-high,No
CP-6(1),cp-6.1,CONTINGENCY PLANNING,Alternate Storage Site | Separation from Primary Site,Yes,Yes,baseline-from-nist-high,No
CP-6(2),cp-6.2,CONTINGENCY PLANNING,Alternate Storage Site | Recovery Time and Recovery Point Objectives,Yes,Yes,baseline-from-nist-high,No
CP-6(3),cp-6.3,CONTINGENCY PLANNING,Alternate Storage Site | Accessibility,Yes,Yes,baseline-from-nist-high,No
CP-7,cp-7,CONTINGENCY PLANNING,Alternate Processing Site,Yes,Yes,baseline-from-nist-high,No
CP-7(1),cp-7.1,CONTINGENCY PLANNING,Alternate Processing Site | Separation from Primary Site,Yes,Yes,baseline-from-nist-high,No
CP-7(2),cp-7.2,CONTINGENCY PLANNING,Alternate Processing Site | Accessibility,Yes,Yes,baseline-from-nist-high,No
CP-7(3),cp-7.3,CONTINGENCY PLANNING,Alternate Processing Site | Priority of Service,Yes,Yes,baseline-from-nist-high,No
CP-7(4),cp-7.4,CONTINGENCY PLANNING,Alternate Processing Site | Preparation for Use,Yes,Yes,baseline-from-nist-high,No
CP-8,cp-8,CONTINGENCY PLANNING,Telecommunications Services,Yes,Yes,baseline-from-nist-high,No
CP-8(1),cp-8.1,CONTINGENCY PLANNING,Telecommunications Services | Priority of Service Provisions,Yes,Yes,baseline-from-nist-high,No
CP-8(2),cp-8.2,CONTINGENCY PLANNING,Telecommunications Services | Single Points of Failure,Yes,Yes,baseline-from-nist-high,No
CP-8(3),cp-8.3,CONTINGENCY PLANNING,Telecommunications Services | Separation of Primary and Alternate Providers,Yes,Yes,baseline-from-nist-high,No
CP-8(4),cp-8.4,CONTINGENCY PLANNING,Telecommunications Services | Provider Contingency Plan,Yes,Yes,baseline-from-nist-high,No
CP-9,cp-9,CONTINGENCY PLANNING,System Backup,Yes,Yes,baseline-from-nist-high,No
CP-9(1),cp-9.1,CONTINGENCY PLANNING,System Backup | Testing for Reliability and Integrity,Yes,Yes,baseline-from-nist-high,No
CP-9(2),cp-9.2,CONTINGENCY PLANNING,System Backup | Test Restoration Using Sampling,Yes,Yes,baseline-from-nist-high,No
CP-9(3),cp-9.3,CONTINGENCY PLANNING,System Backup | Separate Storage for Critical Information,Yes,Yes,baseline-from-nist-high,No
CP-9(5),cp-9.5,CONTINGENCY PLANNING,System Backup | Transfer to Alternate Storage Site,Yes,Yes,baseline-from-nist-high,No
CP-9(8),cp-9.8,CONTINGENCY PLANNING,System Backup | Cryptographic Protection,Yes,Yes,baseline-from-nist-high,No
CP-10,cp-10,CONTINGENCY PLANNING,System Recovery and Reconstitution,Yes,Yes,baseline-from-nist-high,No
CP-10(2),cp-10.2,CONTINGENCY PLANNING,System Recovery and Reconstitution | Transaction Recovery,Yes,Yes,baseline-from-nist-high,No
CP-10(4),cp-10.4,CONTINGENCY PLANNING,System Recovery and Reconstitution | Restore Within Time Period,Yes,Yes,baseline-from-nist-high,No
IA-1,ia-1,IDENTIFICATION AND AUTHENTICATION,Policy and Procedures,Yes,Yes,baseline-from-nist-high,No
IA-2,ia-2,IDENTIFICATION AND AUTHENTICATION,Identification and Authentication (organizational Users),Yes,Yes,baseline-from-nist-high,No
IA-2(1),ia-2.1,IDENTIFICATION AND AUTHENTICATION,Identification and Authentication (organizational Users) | Multi-factor Authentication to Privileged Accounts,Yes,Yes,baseline-from-nist-high,No
IA-2(2),ia-2.2,IDENTIFICATION AND AUTHENTICATION,Identification and Authentication (organizational Users) | Multi-factor Authentication to Non-privileged Accounts,Yes,Yes,baseline-from-nist-high,No
IA-2(5),ia-2.5,IDENTIFICATION AND AUTHENTICATION,Identification and Authentication (organizational Users) | Individual Authentication with Group Authentication,Yes,Yes,baseline-from-nist-high,No
